!EXCLAMATION-POINT	ˌɛkskləmˈeɪʃənpˌɔɪnt
#HASH-MARK	hˈæmˌɑːrk
#POUND-SIGN	pˈaʊndsˌaɪn
#SHARP-SIGN	ʃˈɑːrpsˌaɪn
%PERCENT	pɝsˈɛnt
&AMPERSAND	ˈæmpɝsˌænd
'ALLO	ˌɑːlˈoʊ
'APOSTROPHE	əpˈɑːstrəfi
'BOUT	bˈaʊt
'CAUSE	kəz
'COURSE	kˈɔrs
'CUSE	kjˈuːz
'EM	əm
'END-INNER-QUOTE	ˈɛndˈɪnɝkwˈoʊt
'END-QUOTE	ˈɛndkwˈoʊt
'FRISCO	frˈɪskoʊ
'GAIN	gˈɛn
'INNER-QUOTE	ˈɪnɝkwˈoʊt
'KAY	kˈeɪ
'M	əm
'N	ən
'QUOTE	kwˈoʊt
'ROUND	rˈaʊnd
'S	ˈɛs
'SINGLE-QUOTE	sˈɪŋgəlkwˈoʊt
'TIL	tˈɪl
'TIS	tˈɪz
'TWAS	twˈʌz
(BEGIN-PARENS	bɪgˈɪnpɝˈɛnz
(IN-PARENTHESES	ˈɪnpɝˈɛnθəsˌiːz
(LEFT-PAREN	lˈɛftpɝˈɛn
(OPEN-PARENTHESES	ˈoʊpənpɝˈɛnθəsˌiːz
(PAREN	pɝˈɛn
(PARENS	pɝˈɛnz
(PARENTHESES	pɝˈɛnθəsˌiːz
)CLOSE-PAREN	klˈoʊzpɝˈɛn
)CLOSE-PARENTHESES	klˈoʊzpɝˈɛnθəsˌiːz
)END-PAREN	ˈɛndpɝˈɛn
)END-PARENS	ˈɛndpɝˈɛnz
)END-PARENTHESES	ˈɛndpɝˈɛnθəsˌiːz
)END-THE-PAREN	ˈɛndðəpɝˈɛn
)PAREN	pɝˈɛn
)PARENS	pɝˈɛnz
)RIGHT-PAREN	rˈaɪtpˌɛrən
)UN-PARENTHESES	ˈʌnpɝˈɛnθəsˈiːz
+PLUS	plˈʊs
,COMMA	kˈɑːmə
--DASH	dˈæʃ
-DASH	dˈæʃ
-HYPHEN	hˈaɪfən
...ELLIPSIS	ˌɪlˈɪpsɪs
.DECIMAL	dˈɛsəməl
.DOT	dˈɑːt
.FULL-STOP	fˈʊlstˈɑːp
.PERIOD	pˈɪriːəd
.POINT	pˈɔɪnt
/SLASH	slˈæʃ
3-D	θrˈiːdˌiː
3D	θrˈiːdˌiː
:COLON	kˈoʊlən
;SEMI-COLON	sˈɛmiːkˈoʊlən
;SEMI-COLON(1)	sˈɛmɪkˌoʊlən
?QUESTION-MARK	kwˈɛstʃənmˈɑːrk
A	ə
A(1)	ˈeɪ
A'S	ˈeɪz
A.	ˈeɪ
A.'S	ˈeɪz
A.D.	ˌeɪdˈiː
A.M.	ˌeɪˈɛm
A.S	ˈeɪz
A42128	ˈeɪfˈɔrtˈuːwˈʌntˈuːˈeɪt
AA	ˌeɪˈeɪ
AAA	trˌɪpəlˈeɪ
AAAI	trˌɪpəlˌeɪˈaɪ
AABERG	ˈɑːbɝg
AACHEN	ˈɑːkən
AACHENER	ˈɑːkənɝ
AAH	ˈɑː
AAKER	ˈɑːkɝ
AALIYAH	ˌɑːlˈiːˌɑː
AALSETH	ˈɑːlsɛθ
AAMODT	ˈɑːmət
AANCOR	ˈɑːnkˌɔr
AARDEMA	ɑːrdˈɛmə
AARDVARK	ˈɑːrdvˌɑːrk
AARDVARKS	ˈɑːrdvˌɑːrks
AARGH	ˈɑːrg
AARHUS	ˌɑːhˈuːs
AARON	ˈɛrən
AARON'S	ˈɛrənz
AARONS	ˈɛrənz
AARONSON	ˈɛrənsən
AARONSON(1)	ˈɑːrənsən
AARONSON'S	ˈɛrənsənz
AARONSON'S(1)	ˈɑːrənsənz
AARTI	ˈɑːrtˌiː
AASE	ˈɑːs
AASEN	ˈɑːsən
AB	ˈæb
ABA	ˌeɪbˌiːˈeɪ
ABABA	əbˈɑːbə
ABABA(1)	ˈɑːbəbə
ABACHA	ˈæbəkə
ABACK	əbˈæk
ABACO	ˈæbəkˌoʊ
ABACUS	ˈæbəkəs
ABAD	əbˈɑːd
ABADAKA	əbˈædəkə
ABADI	əbˈædi
ABADIE	əbˈædi
ABAIR	əbˈɛr
ABALKIN	əbˈɑːlkɪn
ABALONE	ˌæbəlˈoʊni
ABALONES	ˌæbəlˈoʊniːz
ABALOS	ɑːbˈɑːloʊz
ABANDON	əbˈændən
ABANDONED	əbˈændənd
ABANDONING	əbˈændənɪŋ
ABANDONMENT	əbˈændənmənt
ABANDONMENTS	əbˈændənmənts
ABANDONS	əbˈændənz
ABANTO	əbˈæntoʊ
ABARCA	əbˈɑːrkə
ABARE	ɑːbˈɑːri
ABASCAL	ˈæbəskəl
ABASH	əbˈæʃ
ABASHED	əbˈæʃt
ABASIA	əbˈeɪʒjə
ABATE	əbˈeɪt
ABATED	əbˈeɪtɪd
ABATEMENT	əbˈeɪtmənt
ABATEMENTS	əbˈeɪtmənts
ABATES	əbˈeɪts
ABATING	əbˈeɪtɪŋ
ABATTOIR	ˌæbətwˈɑːr
ABBA	ˈæbə
ABBADO	əbˈɑːdoʊ
ABBAS	əbˈɑːs
ABBASI	ɑːbˈɑːsi
ABBATE	ˈɑːbeɪt
ABBATIELLO	ɑːbɑːtiːˈɛloʊ
ABBE	ˈæbi
ABBE(1)	æbˈeɪ
ABBENHAUS	ˈæbənhˌaʊs
ABBETT	əbˈɛt
ABBEVILLE	ˈæbvɪl
ABBEY	ˈæbi
ABBEY'S	ˈæbiːz
ABBIE	ˈæbi
ABBITT	ˈæbɪt
ABBOT	ˈæbət
ABBOTSTOWN	ˈæbətstˈaʊn
ABBOTT	ˈæbət
ABBOTT'S	ˈæbəts
ABBOTTSTOWN	ˈæbətstˈaʊn
ABBOUD	əbˈuːd
ABBOUD(1)	əbˈaʊd
ABBREVIATE	əbrˈiːviːˌeɪt
ABBREVIATED	əbrˈiːviːˌeɪtɪd
ABBREVIATES	əbrˈiːviːˌeɪts
ABBREVIATING	əbrˈiːviːˌeɪtɪŋ
ABBREVIATION	əbrˌiːviːˈeɪʃən
ABBREVIATIONS	əbrˌiːviːˈeɪʃənz
ABBRUZZESE	ɑːbruːtsˈeɪzi
ABBS	ˈæbz
ABBY	ˈæbi
ABC	ˈeɪbˌiːsˌiː
ABC'S	ˈeɪbˌiːsˌiːz
ABCO	ˈæbkoʊ
ABCOTEK	ˈæbkoʊtˌɛk
ABCS	ˈeɪbˌiːsˌiːz
ABD	ˌeɪbˌiːdˈiː
ABDALLA	ˌæbdˈælə
ABDALLAH	ˌæbdˈælə
ABDEL	ˈæbdˌɛl
ABDELLA	ˌæbdˈɛlə
ABDICATE	ˈæbdəkˌeɪt
ABDICATED	ˈæbdəkˌeɪtɪd
ABDICATES	ˈæbdəkˌeɪts
ABDICATING	ˈæbdɪkˌeɪtɪŋ
ABDICATION	ˌæbdɪkˈeɪʃən
ABDNOR	ˈæbdnɝ
ABDO	ˈæbdoʊ
ABDOLLAH	ˌæbdˈɑːlə
ABDOMEN	æbdˈoʊmən
ABDOMEN(1)	ˈæbdəmən
ABDOMINAL	æbdˈɑːmənəl
ABDOMINAL(1)	əbdˈɑːmənəl
ABDUCT	æbdˈʌkt
ABDUCTED	æbdˈʌktɪd
ABDUCTED(1)	əbdˈʌktɪd
ABDUCTEE	æbdˌəktˈiː
ABDUCTEES	æbdˌəktˈiːz
ABDUCTING	æbdˈʌktɪŋ
ABDUCTING(1)	əbdˈʌktɪŋ
ABDUCTION	æbdˈʌkʃən
ABDUCTION(1)	əbdˈʌkʃən
ABDUCTIONS	æbdˈʌkʃənz
ABDUCTIONS(1)	əbdˈʌkʃənz
ABDUCTOR	æbdˈʌktɝ
ABDUCTOR(1)	əbdˈʌktɝ
ABDUCTORS	æbdˈʌktɝz
ABDUCTORS(1)	əbdˈʌktɝz
ABDUCTS	æbdˈʌkts
ABDUL	æbdˈuːl
ABDULAZIZ	æbdˌuːləzˈiːz
ABDULLA	ɑːbdˈuːlə
ABDULLAH	ˌæbdˈʌlə
ABE	ˈeɪb
ABED	əbˈɛd
ABEDI	əbˈɛdi
ABEE	əbˈiː
ABEL	ˈeɪbəl
ABELA	ɑːbˈɛlə
ABELARD	ˈæbɪlɝd
ABELE	əbˈɛl
ABELES	əbˈɛlz
ABELES(1)	ˈeɪbəlˌiːz
ABELL	ˈeɪbəl
ABELLA	əbˈɛlə
ABELN	ˈæbɪln
ABELOW	ˈæbəloʊ
ABELS	ˈeɪbəlz
ABELSON	ˈæbɪlsən
ABEND	ˈæbɛnd
ABEND(1)	əbˈɛnd
ABENDROTH	ˈæbɪndrɔθ
ABER	ˈeɪbɝ
ABERCROMBIE	ˌæbɝkrˈɑːmbi
ABERDEEN	ˈæbɝdˌiːn
ABERFORD	ˈeɪbɝfɝd
ABERG	ˈæbɝg
ABERLE	ˈæbɝəl
ABERLE(1)	ˈæbɝl
ABERMIN	ˈæbɝmɪn
ABERNATHY	ˈæbɝnˌæθi
ABERNETHY	ˈæbɝnˌɛθi
ABERRANT	æbˈɛrənt
ABERRATION	ˌæbɝˈeɪʃən
ABERRATIONAL	ˌæbɝˈeɪʃənəl
ABERRATIONS	ˌæbɝˈeɪʃənz
ABERT	ˈæbɝt
ABET	əbˈɛt
ABETTED	əbˈɛtɪd
ABETTING	əbˈɛtɪŋ
ABEX	ˈeɪbɛks
ABEYANCE	əbˈeɪəns
ABEYTA	ɑːbˈeɪtə
ABHOR	æbhˈɔr
ABHORRED	əbhˈɔrd
ABHORRENCE	əbhˈɔrəns
ABHORRENT	æbhˈɔrənt
ABHORS	əbhˈɔrz
ABIAM	ˈeɪbiːəm
ABIAM'S	ˈeɪbiːəmz
ABID	ˈeɪbɪd
ABIDE	əbˈaɪd
ABIDED	əbˈaɪdɪd
ABIDES	əbˈaɪdz
ABIDING	əbˈaɪdɪŋ
ABIDJAN	æbɪdʒˈɑːn
ABIE	ˈæbi
ABIGAIL	ˈæbəgˌeɪl
ABILA	ɑːbˈiːlə
ABILENE	ˈæbɪlˌiːn
ABILITIES	əbˈɪlətˌiːz
ABILITY	əbˈɪlətˌiː
ABIMAEL	ˌæbɪmˈeɪl
ABIMAELS	ˌæbɪmˈeɪlz
ABINGDON	ˈæbɪŋdən
ABINGTON	ˈæbɪŋtən
ABIO	ˈɑːbiːoʊ
ABIOLA	ˌɑːbiːˈoʊlə
ABIOLA'S	ˌɑːbiːˈoʊləz
ABIOMED	eɪbˈiːəmɛd
ABIQUIU	əbˈɪkjuː
ABITIBI	ˌæbɪtˈiːbi
ABITZ	ˈæbɪts
ABJECT	ˈæbdʒɛkt
ABKHAZIA	æbkˈɑːzjə
ABKHAZIA(1)	æbkˈæzjə
ABKHAZIAN	æbkˈɑːziːən
ABKHAZIAN(1)	æbkˈæziːən
ABKHAZIAN(2)	æbkˈɑːzjən
ABKHAZIAN(3)	æbkˈæzjən
ABKHAZIANS	æbkˈɑːziːənz
ABKHAZIANS(1)	æbkˈæziːənz
ABLATE	ˌəblˈeɪt
